,Formula,0,10,20,25,30,40,50,60,70,80,90,100
58,Co(NO2)2,0.076,,,0.49,,,,,,,,
59,Co(NO3)2,45.5,47.0,49.4,50.8,52.4,56.0,60.1,62.6,64.9,67.7,,
60,CoSO4,19.9,23.0,26.1,27.7,29.2,32.3,34.4,35.9,35.5,33.2,30.6,27.8
61,Co(SCN)2,,,,50.7,,,,,,,,
62,CrO3,62.2,62.3,62.6,62.8,63.0,63.5,64.1,64.7,65.5,66.2,67.1,67.9
63,CsBr,,,,55.2,,,,,,,,
64,CsBrO3,1.16,1.93,3.01,3.69,4.46,6.32,8.6,11.32,14.45,17.96,21.83,25.98
65,CsCl,61.83,63.48,64.96,65.64,66.29,67.5,68.6,69.61,70.54,71.4,72.21,72.96
66,CsClO3,2.4,3.87,5.94,7.22,8.69,12.15,16.33,21.14,26.45,32.1,37.89,43.42
67,CsClO4,0.79,1.01,1.51,1.96,2.57,4.28,6.55,9.29,12.41,15.8,19.39,23.07
68,CsI,30.9,37.2,43.2,45.9,48.6,53.3,57.3,60.7,63.6,65.9,67.7,69.2
69,CsIO3,1.08,1.58,2.21,2.59,3.02,3.96,5.06,6.29,7.7,9.2,10.79,12.45
70,CsNO3,8.46,13.0,18.6,21.8,25.1,32.0,39.0,45.7,51.9,57.3,62.1,66.2
71,CsOH,,,,,75.0,,,,,,,
72,Cs2SO4,62.6,63.4,64.1,64.5,64.8,65.5,66.1,66.7,67.3,67.8,68.3,68.8
73,CuBr2,,,,55.8,,,,,,,,
74,CuCl2,40.8,41.7,42.6,43.1,43.7,44.8,46.0,47.2,48.5,49.9,51.3,52.7
75,Cu(ClO4)2,54.3,,,,59.3,,,,,,,
76,CuF2,,,,0.075,,,,,,,,
77,Cu(NO3)2,45.2,49.8,56.3,59.2,61.1,62.0,63.1,64.5,65.9,67.5,69.2,71.0
78,CuSO4,12.4,14.4,16.7,18.0,19.3,22.2,25.4,28.8,32.4,36.3,40.3,43.5
79,CuSeO4,10.6,,,16.0,,,,,,,,
80,Dy(NO3)3,58.79,59.99,61.49,62.35,63.29,65.43,68.04,71.58,,,,
81,Er(NO3)3,61.58,63.15,64.84,65.75,66.69,68.7,70.96,73.64,77.75,,,
82,Eu(NO3)3,55.2,56.7,58.5,59.4,60.4,62.5,64.6,,,,,
83,FeBr2,,,,54.6,,,,,,,,64.8
84,FeCl2,33.2,,,39.4,,,,,,,,48.7
85,Fe(ClO4)2,63.39,,,67.76,,,,,,,,
86,FeCl3,42.7,44.9,47.9,47.7,51.6,74.8,76.7,84.6,84.3,84.3,84.4,84.7
87,FeF3,,,,5.59,,,,,,,,
88,Fe(NO3)2,41.44,,,46.67,,,,,,,,
89,Fe(NO3)3,40.15,,,46.57,,,,,,,,
90,FeSO4,13.5,17.0,20.8,22.8,24.8,28.8,32.8,35.5,33.6,30.4,27.1,24.0
91,Gd(NO3)3,56.3,57.7,59.2,60.1,61.0,62.9,65.2,67.9,71.5,,,
92,HIO3,73.45,74.1,74.98,75.48,76.03,77.2,78.46,79.78,81.13,82.48,83.82,85.14
93,H3BO3,2.61,3.57,4.77,5.48,6.27,8.1,10.3,12.9,15.9,19.3,23.1,27.3
94,HgBr2,0.26,0.37,0.52,0.61,0.72,0.96,1.26,1.63,2.08,2.61,3.23,3.95
95,Hg(CN)2,6.57,7.83,9.33,10.2,11.1,13.1,15.5,18.2,21.2,24.6,28.3,32.3
96,HgCl2,4.24,5.05,6.17,6.81,7.62,9.53,12.02,15.18,19.16,24.06,29.9,36.62
97,HgI2,,,0.0041,0.0055,0.0072,0.0122,0.0199,,,,,
98,Hg(SCN)2,,,,0.07,,,,,,,,
99,Hg2Cl2,,,,0.0004,,,,,,,,
100,Hg2(ClO4)2,73.8,,,79.8,,,,,,,,85.3
101,Hg2SO4,0.038,0.043,0.048,0.051,0.054000000000000006,0.059000000000000004,0.065,0.07,0.076,0.08199999999999999,0.08800000000000001,0.09300000000000001
102,Ho(NO3)3,,,,63.8,,,,,,,,
103,KBF4,0.28,0.34,0.45,0.55,0.75,1.38,2.09,2.82,3.58,4.34,5.12,5.9
104,KBr,35.0,37.3,39.4,40.4,41.4,43.2,44.8,46.2,47.6,48.8,49.8,50.8
105,KBrO3,2.97,4.48,6.42,7.55,8.79,11.57,14.71,18.14,21.79,25.57,29.42,33.28
